================================
GNN training sweep
Job ID: 242670
Task ID: 6
Buffer size: 5
Rollout length: 1
================================
Running GNN sweep: dataset=Net1, buffer=5, rollout=1
Epoch 1/600, Total: 2064.559583, Node: 1255.804807, Link: 807.358855, Spread: 139.592163
Epoch 2/600, Total: 1869.914193, Node: 1109.853622, Link: 759.607861, Spread: 45.270886
Epoch 3/600, Total: 1822.637652, Node: 1071.319546, Link: 751.130006, Spread: 18.810114
Epoch 4/600, Total: 1801.433991, Node: 1056.660243, Link: 744.676965, Spread: 9.678511
Epoch 5/600, Total: 1793.807585, Node: 1054.035159, Link: 739.706182, Spread: 6.624475
Epoch 6/600, Total: 1781.056239, Node: 1043.058086, Link: 737.951184, Spread: 4.697150
Epoch 7/600, Total: 1769.671526, Node: 1034.263914, Link: 735.369270, Spread: 3.833899
Epoch 8/600, Total: 1761.241031, Node: 1028.057393, Link: 733.149156, Spread: 3.448448
Epoch 9/600, Total: 1754.375586, Node: 1023.002068, Link: 731.340735, Spread: 3.278596
Epoch 10/600, Total: 1748.954496, Node: 1019.016042, Link: 729.906561, Spread: 3.189166
Epoch 11/600, Total: 1743.428415, Node: 1014.899846, Link: 728.497136, Spread: 3.143606
Epoch 12/600, Total: 1739.008504, Node: 1011.940247, Link: 727.036722, Spread: 3.153761
Epoch 13/600, Total: 1735.213150, Node: 1009.390484, Link: 725.790816, Spread: 3.184814
Epoch 14/600, Total: 1731.762082, Node: 1007.144515, Link: 724.585444, Spread: 3.211945
Epoch 15/600, Total: 1728.764355, Node: 1005.251036, Link: 723.481248, Spread: 3.207348
Epoch 16/600, Total: 1726.130246, Node: 1003.595187, Link: 722.503453, Spread: 3.160982
Epoch 17/600, Total: 1724.273810, Node: 1002.496457, Link: 721.746473, Spread: 3.087784
Epoch 18/600, Total: 1721.892711, Node: 1000.908550, Link: 720.954249, Spread: 2.991097
Epoch 19/600, Total: 1722.168167, Node: 1001.277928, Link: 720.861640, Spread: 2.859806
Epoch 20/600, Total: 1736.278753, Node: 1012.860599, Link: 723.386727, Spread: 3.142738
Epoch 21/600, Total: 1721.697791, Node: 1001.744000, Link: 719.917793, Spread: 3.600029
Epoch 22/600, Total: 1714.974675, Node: 997.146289, Link: 717.793172, Spread: 3.521312
Epoch 23/600, Total: 1710.770848, Node: 994.487431, Link: 716.251292, Spread: 3.212051
Epoch 24/600, Total: 1723.226790, Node: 1007.451505, Link: 715.749999, Spread: 2.528545
Epoch 25/600, Total: 1720.095835, Node: 1006.729279, Link: 713.347006, Spread: 1.954870
Epoch 26/600, Total: 1715.951624, Node: 1005.441519, Link: 710.493539, Spread: 1.656450
Epoch 27/600, Total: 1711.678807, Node: 1004.321375, Link: 707.342553, Spread: 1.488189
Epoch 28/600, Total: 1707.871452, Node: 1003.263615, Link: 704.593768, Spread: 1.406983
Epoch 29/600, Total: 1704.957011, Node: 1002.224929, Link: 702.718484, Spread: 1.360089
Epoch 30/600, Total: 1702.768722, Node: 1001.270080, Link: 701.485447, Spread: 1.319534
Epoch 31/600, Total: 1701.094324, Node: 1000.439410, Link: 700.642152, Spread: 1.276327
Epoch 32/600, Total: 1699.761766, Node: 999.717590, Link: 700.031889, Spread: 1.228414
Epoch 33/600, Total: 1698.673595, Node: 999.094807, Link: 699.567024, Spread: 1.176219
Epoch 34/600, Total: 1782.503450, Node: 1082.679666, Link: 699.813730, Spread: 1.005220
Epoch 35/600, Total: 1796.359796, Node: 1097.337680, Link: 699.011376, Spread: 1.074093
Epoch 36/600, Total: 1794.464527, Node: 1095.798761, Link: 698.654700, Spread: 1.106671
Epoch 37/600, Total: 1792.827687, Node: 1094.481695, Link: 698.334749, Spread: 1.124207
Epoch 38/600, Total: 1791.424369, Node: 1093.360335, Link: 698.052757, Spread: 1.127964
Epoch 39/600, Total: 1790.241467, Node: 1092.426406, Link: 697.803882, Spread: 1.117984
Epoch 40/600, Total: 1789.243597, Node: 1091.648230, Link: 697.584403, Spread: 1.095651
Epoch 41/600, Total: 1788.346184, Node: 1090.910032, Link: 697.425523, Spread: 1.063697
Epoch 42/600, Total: 1787.738284, Node: 1090.491782, Link: 697.236272, Spread: 1.022587
Epoch 43/600, Total: 1787.100212, Node: 1089.996851, Link: 697.093597, Spread: 0.976578
Epoch 44/600, Total: 1786.538176, Node: 1089.565432, Link: 696.963504, Spread: 0.924598
Epoch 45/600, Total: 1786.050594, Node: 1089.195981, Link: 696.845926, Spread: 0.869191
Epoch 46/600, Total: 1803.084611, Node: 1089.560177, Link: 713.516607, Spread: 0.782339
Epoch 47/600, Total: 1808.374654, Node: 1089.896170, Link: 718.471171, Spread: 0.730945
Epoch 48/600, Total: 1807.668149, Node: 1089.438379, Link: 718.222926, Spread: 0.684268
Epoch 49/600, Total: 1807.154175, Node: 1089.106623, Link: 718.041204, Spread: 0.634903
Epoch 50/600, Total: 1806.780074, Node: 1088.863519, Link: 717.910707, Spread: 0.584812
Epoch 51/600, Total: 1806.510862, Node: 1088.689223, Link: 717.816283, Spread: 0.535523
Epoch 52/600, Total: 1806.319558, Node: 1088.566730, Link: 717.747947, Spread: 0.488451
Epoch 53/600, Total: 1806.185203, Node: 1088.482750, Link: 717.698008, Spread: 0.444765
Epoch 54/600, Total: 1806.089842, Node: 1088.425946, Link: 717.659841, Spread: 0.405322
Epoch 55/600, Total: 1806.022084, Node: 1088.387974, Link: 717.630405, Spread: 0.370599
