================================
GNN training sweep
Job ID: 242685
Task ID: 20
Buffer size: 15
Rollout length: 10
================================
Running GNN sweep: dataset=Net1, buffer=15, rollout=10
Epoch 1/600, Total: 3013.081754, Node: 1494.762239, Link: 1516.850282, Spread: 146.921996
Epoch 2/600, Total: 1931.889503, Node: 1191.585072, Link: 738.625533, Spread: 167.890252
Epoch 3/600, Total: 1882.431461, Node: 1143.155207, Link: 737.732138, Spread: 154.412045
Epoch 4/600, Total: 1850.699848, Node: 1115.829512, Link: 733.451412, Spread: 141.892961
Epoch 5/600, Total: 1819.932244, Node: 1087.404305, Link: 731.226476, Spread: 130.145054
Epoch 6/600, Total: 1802.918211, Node: 1072.573486, Link: 729.172377, Spread: 117.234529
Epoch 7/600, Total: 1793.824769, Node: 1063.432612, Link: 729.321707, Spread: 107.045666
Epoch 8/600, Total: 1785.361553, Node: 1058.787173, Link: 725.683558, Spread: 89.082030
Epoch 9/600, Total: 1794.572710, Node: 1060.907825, Link: 732.924974, Spread: 73.991458
Epoch 10/600, Total: 1798.519464, Node: 1071.216428, Link: 726.668695, Spread: 63.434365
Epoch 11/600, Total: 1791.620843, Node: 1072.819624, Link: 718.246292, Spread: 55.493900
Epoch 12/600, Total: 1773.077368, Node: 1053.786268, Link: 718.818301, Spread: 47.278693
Epoch 13/600, Total: 1807.331531, Node: 1078.497885, Link: 728.431714, Spread: 40.195341
Epoch 14/600, Total: 1821.418986, Node: 1092.722420, Link: 728.345342, Spread: 35.121377
Epoch 15/600, Total: 1805.563905, Node: 1080.936470, Link: 724.327343, Spread: 30.010447
Epoch 16/600, Total: 1792.861596, Node: 1068.374723, Link: 724.218656, Spread: 26.822064
Epoch 17/600, Total: 1756.389593, Node: 1036.317640, Link: 719.829872, Spread: 24.208178
Epoch 18/600, Total: 1756.689258, Node: 1041.074950, Link: 715.390979, Spread: 22.332329
Epoch 19/600, Total: 1767.681746, Node: 1045.537242, Link: 721.949642, Spread: 19.486697
Epoch 20/600, Total: 1739.623156, Node: 1022.942102, Link: 716.504361, Spread: 17.666259
Epoch 21/600, Total: 1747.958660, Node: 1029.800902, Link: 717.997049, Spread: 16.070509
Epoch 22/600, Total: 1746.256983, Node: 1023.612572, Link: 722.494331, Spread: 15.007926
Epoch 23/600, Total: 1735.412970, Node: 1015.106180, Link: 720.170209, Spread: 13.657598
Epoch 24/600, Total: 1721.977380, Node: 1007.720472, Link: 714.131262, Spread: 12.564630
Epoch 25/600, Total: 1738.447830, Node: 1015.033523, Link: 723.300132, Spread: 11.418090
Epoch 26/600, Total: 1740.695127, Node: 1020.273047, Link: 720.312048, Spread: 11.003551
Epoch 27/600, Total: 1780.527173, Node: 1050.681301, Link: 729.745735, Spread: 10.013910
Epoch 28/600, Total: 1780.180125, Node: 1054.839012, Link: 725.254016, Spread: 8.708967
Epoch 29/600, Total: 1769.016260, Node: 1040.010594, Link: 728.926551, Spread: 7.912048
Epoch 30/600, Total: 1762.052753, Node: 1028.714076, Link: 733.267693, Spread: 7.098635
Epoch 31/600, Total: 1739.063169, Node: 1009.613511, Link: 729.386909, Spread: 6.274947
Epoch 32/600, Total: 1746.269349, Node: 1011.344193, Link: 734.869145, Spread: 5.601461
Epoch 33/600, Total: 1737.602104, Node: 1007.949235, Link: 729.601687, Spread: 5.118564
Epoch 34/600, Total: 1734.995914, Node: 1001.223898, Link: 733.725590, Spread: 4.643499
Epoch 35/600, Total: 1752.110417, Node: 1022.217376, Link: 729.852281, Spread: 4.077278
Epoch 36/600, Total: 1727.926548, Node: 1005.550477, Link: 722.337091, Spread: 3.898742
Epoch 37/600, Total: 1715.905872, Node: 994.601659, Link: 721.266172, Spread: 3.805896
Epoch 38/600, Total: 1697.641092, Node: 982.009090, Link: 715.596209, Spread: 3.579345
Epoch 39/600, Total: 1724.379270, Node: 994.821925, Link: 729.524275, Spread: 3.306721
Epoch 40/600, Total: 1725.095964, Node: 993.670290, Link: 731.394663, Spread: 3.102039
Epoch 41/600, Total: 1727.041554, Node: 997.060410, Link: 729.952661, Spread: 2.849090
Epoch 42/600, Total: 1707.965399, Node: 989.177111, Link: 718.761761, Spread: 2.653231
Epoch 43/600, Total: 1709.845784, Node: 989.318419, Link: 720.502837, Spread: 2.452982
Epoch 44/600, Total: 1704.761282, Node: 984.158078, Link: 720.580180, Spread: 2.301219
Epoch 45/600, Total: 1699.046582, Node: 980.755182, Link: 718.269491, Spread: 2.191099
Epoch 46/600, Total: 1705.169114, Node: 989.825654, Link: 715.322598, Spread: 2.085647
Epoch 47/600, Total: 1706.497877, Node: 982.110592, Link: 724.367306, Spread: 1.996124
Epoch 48/600, Total: 1726.817684, Node: 1003.994995, Link: 722.803129, Spread: 1.956673
Epoch 49/600, Total: 1727.865657, Node: 1002.477413, Link: 725.369497, Spread: 1.876453
Epoch 50/600, Total: 1710.032251, Node: 985.531929, Link: 724.482004, Spread: 1.830884
Epoch 51/600, Total: 1712.767213, Node: 991.783596, Link: 720.965950, Spread: 1.765856
Epoch 52/600, Total: 1715.835021, Node: 996.351248, Link: 719.466632, Spread: 1.713898
Epoch 53/600, Total: 1725.152307, Node: 1004.771513, Link: 720.364219, Spread: 1.657136
Epoch 54/600, Total: 1731.962195, Node: 1001.263691, Link: 730.682336, Spread: 1.618009
