================================
GNN training sweep
Job ID: 242677
Task ID: 13
Buffer size: 10
Rollout length: 5
================================
Running GNN sweep: dataset=Net1, buffer=10, rollout=5
Epoch 1/600, Total: 2939.147231, Node: 1822.050133, Link: 1115.369736, Spread: 172.738147
Epoch 2/600, Total: 1953.037886, Node: 1205.345650, Link: 746.129289, Spread: 156.294925
Epoch 3/600, Total: 1893.734736, Node: 1159.329948, Link: 733.046588, Spread: 135.820009
Epoch 4/600, Total: 1857.430553, Node: 1126.078137, Link: 730.204655, Spread: 114.776555
Epoch 5/600, Total: 1826.669946, Node: 1096.541694, Link: 729.118519, Spread: 100.973419
Epoch 6/600, Total: 1815.251950, Node: 1092.588893, Link: 721.785592, Spread: 87.747135
Epoch 7/600, Total: 1792.313917, Node: 1072.807173, Link: 718.770335, Spread: 73.640475
Epoch 8/600, Total: 1772.087858, Node: 1057.398616, Link: 714.091739, Spread: 59.750861
Epoch 9/600, Total: 1754.101006, Node: 1034.544702, Link: 719.062043, Spread: 49.426295
Epoch 10/600, Total: 1783.982695, Node: 1052.228443, Link: 731.352343, Spread: 40.189947
Epoch 11/600, Total: 1760.961367, Node: 1034.787213, Link: 725.874089, Spread: 30.007238
Epoch 12/600, Total: 1745.629673, Node: 1022.784527, Link: 722.622771, Spread: 22.237207
Epoch 13/600, Total: 1728.813471, Node: 1010.874218, Link: 717.774728, Spread: 16.452390
Epoch 14/600, Total: 1717.890890, Node: 1002.734806, Link: 715.032900, Spread: 12.318335
Epoch 15/600, Total: 1711.231205, Node: 998.360225, Link: 712.774825, Spread: 9.615327
Epoch 16/600, Total: 1710.767772, Node: 997.286673, Link: 713.402499, Spread: 7.860974
Epoch 17/600, Total: 1716.605359, Node: 996.716652, Link: 719.821713, Spread: 6.699389
Epoch 18/600, Total: 1715.874652, Node: 996.391103, Link: 719.424193, Spread: 5.935587
Epoch 19/600, Total: 1713.499196, Node: 995.462624, Link: 717.982320, Spread: 5.424994
Epoch 20/600, Total: 1712.036766, Node: 994.853769, Link: 717.132532, Spread: 5.046811
Epoch 21/600, Total: 1710.555685, Node: 994.246620, Link: 716.261627, Spread: 4.742717
Epoch 22/600, Total: 1708.923230, Node: 993.610965, Link: 715.267393, Spread: 4.487211
Epoch 23/600, Total: 1707.099794, Node: 992.933821, Link: 714.123306, Spread: 4.267295
Epoch 24/600, Total: 1705.224072, Node: 992.243736, Link: 712.939581, Spread: 4.075424
Epoch 25/600, Total: 1703.479727, Node: 991.593013, Link: 711.847645, Spread: 3.906923
Epoch 26/600, Total: 1702.420503, Node: 992.115347, Link: 710.267530, Spread: 3.762182
Epoch 27/600, Total: 1713.578179, Node: 1003.238555, Link: 710.302653, Spread: 3.696878
Epoch 28/600, Total: 1701.040298, Node: 990.611619, Link: 710.393476, Spread: 3.519888
Epoch 29/600, Total: 1699.548501, Node: 989.946800, Link: 709.567607, Spread: 3.410142
Epoch 30/600, Total: 1698.531763, Node: 989.544987, Link: 708.953634, Spread: 3.314552
Epoch 31/600, Total: 1697.783769, Node: 989.274127, Link: 708.477313, Spread: 3.232320
Epoch 32/600, Total: 1697.182054, Node: 989.079900, Link: 708.070541, Spread: 3.161478
Epoch 33/600, Total: 1696.699244, Node: 988.941583, Link: 707.726669, Spread: 3.099690
Epoch 34/600, Total: 1696.299318, Node: 988.824511, Link: 707.444361, Spread: 3.044971
Epoch 35/600, Total: 1695.910758, Node: 988.684544, Link: 707.196264, Spread: 2.996060
Epoch 36/600, Total: 1695.487149, Node: 988.504995, Link: 706.952628, Spread: 2.952448
Epoch 37/600, Total: 1695.021560, Node: 988.284871, Link: 706.707559, Spread: 2.913781
Epoch 38/600, Total: 1694.534906, Node: 988.034369, Link: 706.471744, Spread: 2.879407
Epoch 39/600, Total: 1694.048757, Node: 987.765506, Link: 706.254760, Spread: 2.848412
Epoch 40/600, Total: 1693.575876, Node: 987.487252, Link: 706.060407, Spread: 2.819861
Epoch 41/600, Total: 1693.121163, Node: 987.204167, Link: 705.889059, Spread: 2.792979
Epoch 42/600, Total: 1692.684994, Node: 986.917800, Link: 705.739527, Spread: 2.767194
Epoch 43/600, Total: 1692.266494, Node: 986.628049, Link: 705.611020, Spread: 2.742104
Epoch 44/600, Total: 1695.730539, Node: 988.258736, Link: 707.444727, Spread: 2.708698
Epoch 45/600, Total: 1711.358104, Node: 1004.244224, Link: 707.086556, Spread: 2.731935
Epoch 46/600, Total: 1690.900502, Node: 987.723982, Link: 703.149414, Spread: 2.711080
Epoch 47/600, Total: 1694.197319, Node: 987.063923, Link: 707.106549, Spread: 2.685366
Epoch 48/600, Total: 1692.832788, Node: 986.022226, Link: 706.784069, Spread: 2.649842
Epoch 49/600, Total: 1699.217821, Node: 997.982144, Link: 701.210469, Spread: 2.521535
Epoch 50/600, Total: 1686.743872, Node: 983.257698, Link: 703.460352, Spread: 2.581497
Epoch 51/600, Total: 1690.821543, Node: 985.004661, Link: 705.791165, Spread: 2.571979
Epoch 52/600, Total: 1690.408689, Node: 984.640404, Link: 705.742756, Spread: 2.552482
Epoch 53/600, Total: 1689.906825, Node: 984.218985, Link: 705.662528, Spread: 2.531146
Epoch 54/600, Total: 1689.389076, Node: 983.783685, Link: 705.580301, Spread: 2.508783
Epoch 55/600, Total: 1688.892585, Node: 983.359103, Link: 705.508628, Spread: 2.485665
Epoch 56/600, Total: 1688.425343, Node: 982.951562, Link: 705.449162, Spread: 2.461905
Epoch 57/600, Total: 1687.984188, Node: 982.560550, Link: 705.399256, Spread: 2.437589
Epoch 58/600, Total: 1687.562284, Node: 982.183604, Link: 705.354552, Spread: 2.412779
Epoch 59/600, Total: 1687.151715, Node: 981.817782, Link: 705.310054, Spread: 2.387539
Epoch 60/600, Total: 1686.736994, Node: 981.460485, Link: 705.252896, Spread: 2.362078
Epoch 61/600, Total: 1686.346354, Node: 981.114798, Link: 705.208196, Spread: 2.336276
Epoch 62/600, Total: 1685.928046, Node: 980.766739, Link: 705.138205, Spread: 2.310061
Epoch 63/600, Total: 1685.499778, Node: 980.420989, Link: 705.055963, Spread: 2.283666
Epoch 64/600, Total: 1697.312237, Node: 992.092307, Link: 705.197023, Spread: 2.290872
Epoch 65/600, Total: 1694.411369, Node: 990.340573, Link: 704.046729, Spread: 2.407181
Epoch 66/600, Total: 1683.040607, Node: 977.784984, Link: 705.232542, Spread: 2.307168
Epoch 67/600, Total: 1685.739507, Node: 978.466920, Link: 707.250497, Spread: 2.209484
Epoch 68/600, Total: 1682.756098, Node: 981.165942, Link: 701.567673, Spread: 2.248679
Epoch 69/600, Total: 1684.795953, Node: 980.990757, Link: 703.783546, Spread: 2.164748
Epoch 70/600, Total: 1686.864730, Node: 976.773612, Link: 710.068872, Spread: 2.225382
Epoch 71/600, Total: 1692.076554, Node: 983.986469, Link: 708.069165, Spread: 2.092492
Epoch 72/600, Total: 1672.784516, Node: 973.814336, Link: 698.948772, Spread: 2.141058
Epoch 73/600, Total: 1675.154277, Node: 973.609625, Link: 701.523646, Spread: 2.100380
Epoch 74/600, Total: 1655.786309, Node: 963.363819, Link: 692.401471, Spread: 2.101466
Epoch 75/600, Total: 1674.055890, Node: 970.753608, Link: 703.281577, Spread: 2.071135
Epoch 76/600, Total: 1683.187644, Node: 977.291856, Link: 705.875532, Spread: 2.025527
Epoch 77/600, Total: 1673.883811, Node: 970.118966, Link: 703.744999, Spread: 1.984437
Epoch 78/600, Total: 1694.688943, Node: 984.590092, Link: 710.078911, Spread: 1.994347
Epoch 79/600, Total: 1676.396217, Node: 968.637049, Link: 707.739352, Spread: 1.981246
Epoch 80/600, Total: 1682.960785, Node: 982.877574, Link: 700.064520, Spread: 1.869504
Epoch 81/600, Total: 1688.027877, Node: 982.287295, Link: 705.722147, Spread: 1.843766
Epoch 82/600, Total: 1675.548248, Node: 979.974656, Link: 695.555565, Spread: 1.802347
Epoch 83/600, Total: 1688.369123, Node: 982.546748, Link: 705.804684, Spread: 1.769187
Epoch 84/600, Total: 1680.477329, Node: 975.716994, Link: 704.742835, Spread: 1.751963
Epoch 85/600, Total: 1693.438248, Node: 982.968614, Link: 710.451205, Spread: 1.842974
Epoch 86/600, Total: 1682.545860, Node: 970.867340, Link: 711.660801, Spread: 1.772539
Epoch 87/600, Total: 1674.315655, Node: 970.775119, Link: 703.523269, Spread: 1.726285
Epoch 88/600, Total: 1692.029608, Node: 979.514509, Link: 712.498092, Spread: 1.701746
