================================
GNN training sweep
Job ID: 242693
Task ID: 22
Buffer size: 15
Rollout length: 20
================================
Running GNN sweep: dataset=Net1, buffer=15, rollout=20
Epoch 1/600, Total: 4005.666174, Node: 1762.695825, Link: 2241.643052, Spread: 132.729735
Epoch 2/600, Total: 2063.607346, Node: 1248.413711, Link: 813.580028, Spread: 161.360710
Epoch 3/600, Total: 1948.290663, Node: 1208.039296, Link: 738.565126, Spread: 168.620612
Epoch 4/600, Total: 1912.899931, Node: 1172.373564, Link: 738.927087, Spread: 159.926240
Epoch 5/600, Total: 1885.274080, Node: 1147.278312, Link: 736.468301, Spread: 152.747607
Epoch 6/600, Total: 1863.166800, Node: 1127.561987, Link: 734.149828, Spread: 145.497980
Epoch 7/600, Total: 1854.832027, Node: 1112.243934, Link: 741.232824, Spread: 135.528932
Epoch 8/600, Total: 1823.757799, Node: 1092.441122, Link: 730.029644, Spread: 128.705536
Epoch 9/600, Total: 1836.459856, Node: 1095.731131, Link: 739.521720, Spread: 120.700803
Epoch 10/600, Total: 1809.953445, Node: 1080.302436, Link: 728.500000, Spread: 115.101589
Epoch 11/600, Total: 1813.849686, Node: 1077.842586, Link: 734.910505, Spread: 109.659606
Epoch 12/600, Total: 1799.958651, Node: 1072.100813, Link: 726.810093, Spread: 104.774399
Epoch 13/600, Total: 1787.538147, Node: 1058.657466, Link: 727.875056, Spread: 100.560676
Epoch 14/600, Total: 1798.081646, Node: 1063.220667, Link: 733.924795, Spread: 93.615128
Epoch 15/600, Total: 1784.920279, Node: 1060.497385, Link: 723.529461, Spread: 89.345786
Epoch 16/600, Total: 1774.289648, Node: 1052.340975, Link: 721.091156, Spread: 85.753301
Epoch 17/600, Total: 1776.015013, Node: 1051.015612, Link: 724.185853, Spread: 81.352625
Epoch 18/600, Total: 1771.875526, Node: 1047.055930, Link: 724.054934, Spread: 76.468037
Epoch 19/600, Total: 1763.453999, Node: 1041.514553, Link: 721.211652, Spread: 72.783413
Epoch 20/600, Total: 1789.789921, Node: 1053.601135, Link: 735.500923, Spread: 68.786622
Epoch 21/600, Total: 1755.694376, Node: 1034.901785, Link: 720.145801, Spread: 64.680873
Epoch 22/600, Total: 1764.203979, Node: 1038.827090, Link: 724.763986, Spread: 61.290383
Epoch 23/600, Total: 1746.690086, Node: 1030.206338, Link: 715.891184, Spread: 59.259101
Epoch 24/600, Total: 1737.323236, Node: 1021.528543, Link: 715.228402, Spread: 56.632092
Epoch 25/600, Total: 1739.252644, Node: 1019.087421, Link: 719.620927, Spread: 54.426998
Epoch 26/600, Total: 1724.653999, Node: 1010.754806, Link: 713.375404, Spread: 52.378138
Epoch 27/600, Total: 1727.626081, Node: 1011.525222, Link: 715.592577, Spread: 50.829482
Epoch 28/600, Total: 1721.512199, Node: 1010.504819, Link: 710.518848, Spread: 48.855122
Epoch 29/600, Total: 1731.548592, Node: 1011.722559, Link: 719.354914, Spread: 47.109645
Epoch 30/600, Total: 1706.938925, Node: 995.632142, Link: 710.855226, Spread: 45.154269
Epoch 31/600, Total: 1716.409609, Node: 997.104766, Link: 718.874136, Spread: 43.072040
Epoch 32/600, Total: 1709.035824, Node: 989.387787, Link: 719.241929, Spread: 40.606859
Epoch 33/600, Total: 1711.902792, Node: 997.240275, Link: 714.276754, Spread: 38.578446
Epoch 34/600, Total: 1710.695211, Node: 996.362558, Link: 713.962378, Spread: 37.022459
Epoch 35/600, Total: 1691.844994, Node: 980.771228, Link: 710.722053, Spread: 35.173494
