================================
GNN training sweep
Job ID: 242703
Task ID: 32
Buffer size: 25
Rollout length: 10
================================
Running GNN sweep: dataset=Net1, buffer=25, rollout=10
Epoch 1/600, Total: 3018.420515, Node: 1386.576380, Link: 1630.976689, Spread: 86.743649
Epoch 2/600, Total: 1991.123240, Node: 1250.188073, Link: 739.910768, Spread: 102.439044
Epoch 3/600, Total: 1936.785354, Node: 1203.505233, Link: 732.302237, Spread: 97.790072
Epoch 4/600, Total: 1915.304877, Node: 1181.958145, Link: 732.434593, Spread: 91.212595
Epoch 5/600, Total: 1894.009613, Node: 1165.236533, Link: 727.907125, Spread: 86.593899
Epoch 6/600, Total: 1854.428066, Node: 1122.546845, Link: 731.073969, Spread: 80.725683
Epoch 7/600, Total: 1842.947292, Node: 1113.835184, Link: 728.344433, Spread: 76.767507
Epoch 8/600, Total: 1821.199243, Node: 1092.201906, Link: 728.270111, Spread: 72.719982
Epoch 9/600, Total: 1810.125860, Node: 1086.761829, Link: 722.670661, Spread: 69.337064
Epoch 10/600, Total: 1802.381703, Node: 1075.841335, Link: 725.898807, Spread: 64.156493
Epoch 11/600, Total: 1830.876633, Node: 1093.838493, Link: 736.442217, Spread: 59.592472
Epoch 12/600, Total: 1797.142851, Node: 1071.470146, Link: 725.105753, Spread: 56.693397
Epoch 13/600, Total: 1772.964755, Node: 1047.958877, Link: 724.480510, Spread: 52.536749
Epoch 14/600, Total: 1776.558488, Node: 1054.732343, Link: 721.316733, Spread: 50.941124
Epoch 15/600, Total: 1766.607636, Node: 1046.236655, Link: 719.886647, Spread: 48.434218
Epoch 16/600, Total: 1764.734069, Node: 1044.523929, Link: 719.762573, Spread: 44.755097
Epoch 17/600, Total: 1743.811170, Node: 1028.852115, Link: 714.537692, Spread: 42.136606
Epoch 18/600, Total: 1777.040679, Node: 1058.341364, Link: 718.312604, Spread: 38.669350
Epoch 19/600, Total: 1773.244620, Node: 1045.876119, Link: 727.009051, Spread: 35.945624
Epoch 20/600, Total: 1778.030733, Node: 1047.127622, Link: 730.565202, Spread: 33.789917
Epoch 21/600, Total: 1758.090745, Node: 1037.556743, Link: 720.214477, Spread: 31.952763
Epoch 22/600, Total: 1751.194178, Node: 1035.024308, Link: 715.871760, Spread: 29.812394
Epoch 23/600, Total: 1759.714658, Node: 1044.174860, Link: 715.266756, Spread: 27.302740
Epoch 24/600, Total: 1740.055342, Node: 1021.509378, Link: 718.292463, Spread: 25.351184
Epoch 25/600, Total: 1739.015649, Node: 1027.204303, Link: 711.578969, Spread: 23.238134
Epoch 26/600, Total: 1755.678844, Node: 1047.466172, Link: 708.002166, Spread: 21.049471
Epoch 27/600, Total: 1753.606034, Node: 1033.972692, Link: 719.441397, Spread: 19.194232
Epoch 28/600, Total: 1722.391747, Node: 1011.695938, Link: 710.516675, Spread: 17.914374
Epoch 29/600, Total: 1725.063785, Node: 1018.378404, Link: 706.518573, Spread: 16.680830
Epoch 30/600, Total: 1696.303729, Node: 996.771412, Link: 699.381952, Spread: 15.034605
Epoch 31/600, Total: 1681.687736, Node: 993.933629, Link: 687.615098, Spread: 13.901632
Epoch 32/600, Total: 1678.941911, Node: 988.707021, Link: 690.110157, Spread: 12.473644
Epoch 33/600, Total: 1692.320249, Node: 1003.384422, Link: 688.821881, Spread: 11.394513
Epoch 34/600, Total: 1682.196665, Node: 994.782455, Link: 687.308544, Spread: 10.566823
Epoch 35/600, Total: 1674.950472, Node: 990.411329, Link: 684.437720, Spread: 10.143210
Epoch 36/600, Total: 1696.374395, Node: 994.941606, Link: 701.340398, Spread: 9.238257
Epoch 37/600, Total: 1717.584194, Node: 1015.867766, Link: 701.629191, Spread: 8.724278
Epoch 38/600, Total: 1749.087090, Node: 1019.066506, Link: 729.941056, Spread: 7.954535
Epoch 39/600, Total: 1778.119699, Node: 1044.664521, Link: 733.382947, Spread: 7.224118
Epoch 40/600, Total: 1670.514653, Node: 986.356499, Link: 684.092152, Spread: 6.601233
Epoch 41/600, Total: 1701.032661, Node: 1007.430051, Link: 693.541401, Spread: 6.121604
Epoch 42/600, Total: 1692.296155, Node: 997.790892, Link: 694.447774, Spread: 5.748445
Epoch 43/600, Total: 1686.430779, Node: 995.530712, Link: 690.845811, Spread: 5.427252
Epoch 44/600, Total: 1688.295762, Node: 999.019170, Link: 689.224793, Spread: 5.179826
Epoch 45/600, Total: 1640.492244, Node: 967.764935, Link: 672.676746, Spread: 5.056517
Epoch 46/600, Total: 1672.153501, Node: 986.775690, Link: 685.329029, Spread: 4.877639
