================================
GNN training sweep
Job ID: 242701
Task ID: 30
Buffer size: 25
Rollout length: 1
================================
Running GNN sweep: dataset=Net1, buffer=25, rollout=1
Epoch 1/600, Total: 2101.864029, Node: 1289.057903, Link: 812.076736, Spread: 72.938715
Epoch 2/600, Total: 1968.279234, Node: 1208.182227, Link: 759.699137, Spread: 39.787304
Epoch 3/600, Total: 1981.868280, Node: 1235.081109, Link: 746.558080, Spread: 22.909163
Epoch 4/600, Total: 1935.515685, Node: 1194.167721, Link: 741.201133, Spread: 14.682594
Epoch 5/600, Total: 1956.839198, Node: 1219.628134, Link: 737.103699, Spread: 10.735957
Epoch 6/600, Total: 1936.992790, Node: 1202.931602, Link: 733.970806, Spread: 9.038399
Epoch 7/600, Total: 1916.838209, Node: 1187.469387, Link: 729.295363, Spread: 7.345792
Epoch 8/600, Total: 1893.285555, Node: 1169.534397, Link: 723.688372, Spread: 6.278561
Epoch 9/600, Total: 1877.604703, Node: 1157.088889, Link: 720.461176, Spread: 5.463462
Epoch 10/600, Total: 1866.038014, Node: 1147.965477, Link: 718.024275, Spread: 4.826335
Epoch 11/600, Total: 1851.221625, Node: 1138.236305, Link: 712.944897, Spread: 4.042314
Epoch 12/600, Total: 1836.987150, Node: 1127.111669, Link: 709.837253, Spread: 3.822824
Epoch 13/600, Total: 1839.158749, Node: 1120.942122, Link: 718.180706, Spread: 3.592435
Epoch 14/600, Total: 1842.280315, Node: 1114.770787, Link: 727.474012, Spread: 3.551924
Epoch 15/600, Total: 1835.910293, Node: 1109.593943, Link: 726.283782, Spread: 3.256751
Epoch 16/600, Total: 1826.922158, Node: 1103.465727, Link: 723.424258, Spread: 3.217174
Epoch 17/600, Total: 1826.501855, Node: 1104.323431, Link: 722.149157, Spread: 2.926468
Epoch 18/600, Total: 1821.621993, Node: 1100.342864, Link: 721.252333, Spread: 2.679415
Epoch 19/600, Total: 1818.429069, Node: 1098.282537, Link: 720.121530, Spread: 2.500034
Epoch 20/600, Total: 1816.223625, Node: 1096.790886, Link: 719.409989, Spread: 2.274712
Epoch 21/600, Total: 1814.603500, Node: 1095.651399, Link: 718.931833, Spread: 2.027170
Epoch 22/600, Total: 1813.467473, Node: 1094.866517, Link: 718.583195, Spread: 1.776319
Epoch 23/600, Total: 1812.625843, Node: 1094.262915, Link: 718.347555, Spread: 1.536906
Epoch 24/600, Total: 1811.996158, Node: 1093.792829, Link: 718.190153, Spread: 1.317715
Epoch 25/600, Total: 1811.516298, Node: 1093.428190, Link: 718.076876, Spread: 1.123152
Epoch 26/600, Total: 1811.153136, Node: 1093.151336, Link: 717.992256, Spread: 0.954192
Epoch 27/600, Total: 1810.876847, Node: 1092.943115, Link: 717.925634, Spread: 0.809939
Epoch 28/600, Total: 1810.658068, Node: 1092.776885, Link: 717.874301, Spread: 0.688359
Epoch 29/600, Total: 1810.484815, Node: 1092.642511, Link: 717.836432, Spread: 0.586902
Epoch 30/600, Total: 1813.948870, Node: 1093.527999, Link: 720.416159, Spread: 0.471119
Epoch 31/600, Total: 1811.697285, Node: 1092.905934, Link: 718.787142, Spread: 0.420944
Epoch 32/600, Total: 1812.137646, Node: 1093.219267, Link: 718.914706, Spread: 0.366928
Epoch 33/600, Total: 1810.472935, Node: 1092.642190, Link: 717.827324, Spread: 0.341630
Epoch 34/600, Total: 1810.192699, Node: 1092.375295, Link: 717.814392, Spread: 0.301985
Epoch 35/600, Total: 1810.098911, Node: 1092.297246, Link: 717.798953, Spread: 0.270071
Epoch 36/600, Total: 1810.035519, Node: 1092.244633, Link: 717.788446, Spread: 0.243848
Epoch 37/600, Total: 1809.999593, Node: 1092.213870, Link: 717.783501, Spread: 0.222295
Epoch 38/600, Total: 1809.944050, Node: 1092.171004, Link: 717.771000, Spread: 0.204621
Epoch 39/600, Total: 1809.730103, Node: 1091.977125, Link: 717.751079, Spread: 0.190185
Epoch 40/600, Total: 1809.591062, Node: 1091.836304, Link: 717.752973, Spread: 0.178300
Epoch 41/600, Total: 1809.493611, Node: 1091.753123, Link: 717.738802, Spread: 0.168632
Epoch 42/600, Total: 1809.452564, Node: 1091.707974, Link: 717.742985, Spread: 0.160749
Epoch 43/600, Total: 1809.376007, Node: 1091.640184, Link: 717.734286, Spread: 0.154365
Epoch 44/600, Total: 1809.378642, Node: 1091.637655, Link: 717.739493, Spread: 0.149214
Epoch 45/600, Total: 1809.323936, Node: 1091.580418, Link: 717.742066, Spread: 0.145088
Epoch 46/600, Total: 1809.365183, Node: 1091.618947, Link: 717.744816, Spread: 0.141823
Epoch 47/600, Total: 1809.360419, Node: 1091.607864, Link: 717.751163, Spread: 0.139274
Epoch 48/600, Total: 1810.417198, Node: 1092.278263, Link: 718.137698, Spread: 0.123386
Epoch 49/600, Total: 1809.609275, Node: 1091.738175, Link: 717.869781, Spread: 0.131601
Epoch 50/600, Total: 1809.601529, Node: 1091.758624, Link: 717.841586, Spread: 0.131733
Epoch 51/600, Total: 1809.471595, Node: 1091.644633, Link: 717.825651, Spread: 0.131054
Epoch 52/600, Total: 1809.554895, Node: 1091.731603, Link: 717.821986, Spread: 0.130596
Epoch 53/600, Total: 1809.493410, Node: 1091.671650, Link: 717.820454, Spread: 0.130533
Epoch 54/600, Total: 1809.485748, Node: 1091.659744, Link: 717.824697, Spread: 0.130336
Epoch 55/600, Total: 1809.494664, Node: 1091.674115, Link: 717.819239, Spread: 0.130554
Epoch 56/600, Total: 1809.508440, Node: 1091.699813, Link: 717.807309, Spread: 0.131156
Epoch 57/600, Total: 1809.416828, Node: 1091.604537, Link: 717.810975, Spread: 0.131573
Epoch 58/600, Total: 1809.157096, Node: 1091.377916, Link: 717.777857, Spread: 0.132253
Epoch 59/600, Total: 1809.036520, Node: 1091.309971, Link: 717.725223, Spread: 0.132940
Epoch 60/600, Total: 1808.961232, Node: 1091.228820, Link: 717.731080, Spread: 0.133913
Epoch 61/600, Total: 1809.025005, Node: 1091.258371, Link: 717.765290, Spread: 0.134796
Epoch 62/600, Total: 1809.039392, Node: 1091.243422, Link: 717.794616, Spread: 0.135553
Epoch 63/600, Total: 1809.013997, Node: 1091.205844, Link: 717.806789, Spread: 0.136371
Epoch 64/600, Total: 1808.928168, Node: 1091.109641, Link: 717.817158, Spread: 0.137120
Epoch 65/600, Total: 1808.870236, Node: 1091.043386, Link: 717.825474, Spread: 0.137826
Epoch 66/600, Total: 1808.940901, Node: 1091.090798, Link: 717.848718, Spread: 0.138537
Epoch 67/600, Total: 1809.190214, Node: 1091.347601, Link: 717.841217, Spread: 0.139292
Epoch 68/600, Total: 1809.268868, Node: 1091.258882, Link: 718.008596, Spread: 0.139220
Epoch 69/600, Total: 1808.937779, Node: 1091.088706, Link: 717.847679, Spread: 0.139770
Epoch 70/600, Total: 1808.968067, Node: 1091.096828, Link: 717.869846, Spread: 0.139414
Epoch 71/600, Total: 1808.982408, Node: 1091.113842, Link: 717.867171, Spread: 0.139568
Epoch 72/600, Total: 1809.052907, Node: 1091.184531, Link: 717.866976, Spread: 0.139902
Epoch 73/600, Total: 1809.039857, Node: 1091.164083, Link: 717.874373, Spread: 0.140270
Epoch 74/600, Total: 1809.054958, Node: 1091.171972, Link: 717.881586, Spread: 0.140579
Epoch 75/600, Total: 1809.068340, Node: 1091.177446, Link: 717.889489, Spread: 0.140862
Epoch 76/600, Total: 1809.091100, Node: 1091.191786, Link: 717.897909, Spread: 0.141120
Epoch 77/600, Total: 1809.104175, Node: 1091.195256, Link: 717.907510, Spread: 0.141349
Epoch 78/600, Total: 1809.145984, Node: 1091.226927, Link: 717.917646, Spread: 0.141534
Epoch 79/600, Total: 1809.190817, Node: 1091.260589, Link: 717.928810, Spread: 0.141676
Epoch 80/600, Total: 1809.272032, Node: 1091.333605, Link: 717.937008, Spread: 0.142126
Epoch 81/600, Total: 1812.360561, Node: 1093.897294, Link: 718.462128, Spread: 0.114023
Epoch 82/600, Total: 1809.370077, Node: 1091.348316, Link: 718.020384, Spread: 0.137564
Epoch 83/600, Total: 1809.944197, Node: 1091.998799, Link: 717.944005, Spread: 0.139539
Epoch 84/600, Total: 1808.808820, Node: 1090.847115, Link: 717.960317, Spread: 0.138824
Epoch 85/600, Total: 1809.517031, Node: 1091.559821, Link: 717.955832, Spread: 0.137841
Epoch 86/600, Total: 1809.283594, Node: 1091.354332, Link: 717.927888, Spread: 0.137326
