================================
GNN training sweep
Job ID: 242702
Task ID: 31
Buffer size: 25
Rollout length: 5
================================
Running GNN sweep: dataset=Net1, buffer=25, rollout=5
Epoch 1/600, Total: 2464.452122, Node: 1329.021218, Link: 1134.515443, Spread: 91.545583
Epoch 2/600, Total: 1950.106325, Node: 1208.633033, Link: 740.573778, Spread: 89.951840
Epoch 3/600, Total: 1897.524447, Node: 1159.083874, Link: 737.654332, Spread: 78.623314
Epoch 4/600, Total: 1858.789494, Node: 1125.426727, Link: 732.675515, Spread: 68.725131
Epoch 5/600, Total: 1838.921883, Node: 1104.029441, Link: 734.282056, Spread: 61.038599
Epoch 6/600, Total: 1825.548340, Node: 1098.276480, Link: 726.732553, Spread: 53.930486
Epoch 7/600, Total: 1832.363060, Node: 1099.262159, Link: 732.614407, Spread: 48.650271
Epoch 8/600, Total: 1796.289676, Node: 1067.353384, Link: 728.508374, Spread: 42.792063
Epoch 9/600, Total: 1795.695916, Node: 1067.571211, Link: 727.762386, Spread: 36.231565
Epoch 10/600, Total: 1786.254620, Node: 1054.710747, Link: 731.227906, Spread: 31.596181
Epoch 11/600, Total: 1815.860074, Node: 1071.630370, Link: 743.961272, Spread: 26.843405
Epoch 12/600, Total: 1825.452825, Node: 1081.968761, Link: 743.253088, Spread: 23.098188
Epoch 13/600, Total: 1826.621429, Node: 1086.303348, Link: 740.115892, Spread: 20.218844
Epoch 14/600, Total: 1818.995519, Node: 1057.544271, Link: 761.274697, Spread: 17.654429
Epoch 15/600, Total: 1790.893626, Node: 1044.840761, Link: 745.897213, Spread: 15.565639
Epoch 16/600, Total: 1782.934718, Node: 1051.042608, Link: 731.754274, Spread: 13.785016
Epoch 17/600, Total: 1791.842232, Node: 1050.228464, Link: 741.489853, Spread: 12.391076
Epoch 18/600, Total: 1788.845116, Node: 1046.133931, Link: 742.600406, Spread: 11.077584
Epoch 19/600, Total: 1765.922476, Node: 1030.199968, Link: 735.617259, Spread: 10.524431
Epoch 20/600, Total: 1794.628894, Node: 1058.807724, Link: 735.726144, Spread: 9.502818
Epoch 21/600, Total: 1763.077324, Node: 1032.167736, Link: 730.822496, Spread: 8.710390
Epoch 22/600, Total: 1757.961394, Node: 1023.292062, Link: 734.587837, Spread: 8.149496
Epoch 23/600, Total: 1750.698693, Node: 1021.683891, Link: 728.937082, Spread: 7.772825
Epoch 24/600, Total: 1753.695611, Node: 1023.312490, Link: 730.309940, Spread: 7.317629
Epoch 25/600, Total: 1743.422773, Node: 1011.583168, Link: 731.775778, Spread: 6.383638
Epoch 26/600, Total: 1755.512381, Node: 1030.989749, Link: 724.461872, Spread: 6.077062
Epoch 27/600, Total: 1739.664356, Node: 1009.412881, Link: 730.194587, Spread: 5.689079
Epoch 28/600, Total: 1736.356291, Node: 1003.501280, Link: 732.801622, Spread: 5.339632
Epoch 29/600, Total: 1745.323259, Node: 1013.998732, Link: 731.272815, Spread: 5.171075
Epoch 30/600, Total: 1733.251740, Node: 1008.353287, Link: 724.846502, Spread: 5.195250
Epoch 31/600, Total: 1725.745365, Node: 1004.355506, Link: 721.338934, Spread: 5.093103
Epoch 32/600, Total: 1726.688802, Node: 999.344491, Link: 727.295028, Spread: 4.927614
Epoch 33/600, Total: 1737.642860, Node: 1012.550257, Link: 725.043758, Spread: 4.884177
Epoch 34/600, Total: 1714.872646, Node: 995.729425, Link: 719.098240, Spread: 4.497480
Epoch 35/600, Total: 1730.968213, Node: 1004.599706, Link: 726.323503, Spread: 4.500469
Epoch 36/600, Total: 1728.524928, Node: 1000.981653, Link: 727.499850, Spread: 4.343084
Epoch 37/600, Total: 1723.459241, Node: 994.095856, Link: 729.319125, Spread: 4.425194
Epoch 38/600, Total: 1720.132912, Node: 995.094822, Link: 724.995783, Spread: 4.230138
Epoch 39/600, Total: 1716.627851, Node: 989.357993, Link: 727.228963, Spread: 4.090127
Epoch 40/600, Total: 1713.499434, Node: 989.168089, Link: 724.292067, Spread: 3.927599
Epoch 41/600, Total: 1746.556046, Node: 1018.424312, Link: 728.092708, Spread: 3.902608
Epoch 42/600, Total: 1722.063184, Node: 993.306430, Link: 728.719498, Spread: 3.726020
Epoch 43/600, Total: 1722.649137, Node: 995.266141, Link: 727.344800, Spread: 3.818868
Epoch 44/600, Total: 1708.257526, Node: 984.240903, Link: 723.978695, Spread: 3.792341
Epoch 45/600, Total: 1710.879034, Node: 985.783283, Link: 725.057901, Spread: 3.785138
Epoch 46/600, Total: 1727.045266, Node: 997.105287, Link: 729.901423, Spread: 3.854496
Epoch 47/600, Total: 1719.144352, Node: 994.262528, Link: 724.845131, Spread: 3.669315
Epoch 48/600, Total: 1714.059273, Node: 989.698200, Link: 724.322711, Spread: 3.835920
Epoch 49/600, Total: 1706.748212, Node: 984.417353, Link: 722.291434, Spread: 3.942731
Epoch 50/600, Total: 1705.748265, Node: 984.778436, Link: 720.929681, Spread: 4.014681
Epoch 51/600, Total: 1702.260787, Node: 983.067541, Link: 719.153084, Spread: 4.015653
Epoch 52/600, Total: 1700.677346, Node: 982.350547, Link: 718.287534, Spread: 3.925831
Epoch 53/600, Total: 1702.640984, Node: 982.907394, Link: 719.694965, Spread: 3.862570
Epoch 54/600, Total: 1702.621935, Node: 977.886859, Link: 724.697004, Spread: 3.807168
Epoch 55/600, Total: 1704.557825, Node: 983.855593, Link: 720.665573, Spread: 3.666035
Epoch 56/600, Total: 1708.887778, Node: 986.855195, Link: 721.996251, Spread: 3.634227
Epoch 57/600, Total: 1703.216640, Node: 978.631246, Link: 724.549180, Spread: 3.620909
Epoch 58/600, Total: 1716.201502, Node: 998.323621, Link: 717.843534, Spread: 3.434338
Epoch 59/600, Total: 1704.320330, Node: 978.837004, Link: 725.449084, Spread: 3.424168
Epoch 60/600, Total: 1705.436400, Node: 978.472133, Link: 726.929943, Spread: 3.432321
Epoch 61/600, Total: 1698.900227, Node: 978.520496, Link: 720.346193, Spread: 3.353454
Epoch 62/600, Total: 1718.829742, Node: 999.841019, Link: 718.955792, Spread: 3.293508
Epoch 63/600, Total: 1696.170094, Node: 975.562813, Link: 720.574677, Spread: 3.260627
Epoch 64/600, Total: 1695.732270, Node: 974.407492, Link: 721.292131, Spread: 3.265281
Epoch 65/600, Total: 1701.077185, Node: 980.547557, Link: 720.497398, Spread: 3.223449
Epoch 66/600, Total: 1710.323212, Node: 988.674921, Link: 721.615381, Spread: 3.290911
Epoch 67/600, Total: 1712.125429, Node: 988.485592, Link: 723.607786, Spread: 3.204960
Epoch 68/600, Total: 1696.567465, Node: 975.122229, Link: 721.413696, Spread: 3.153852
Epoch 69/600, Total: 1706.622536, Node: 982.971840, Link: 723.619709, Spread: 3.098816
Epoch 70/600, Total: 1692.792966, Node: 971.157469, Link: 721.604689, Spread: 3.080316
Epoch 71/600, Total: 1694.949775, Node: 974.035242, Link: 720.884219, Spread: 3.031256
Epoch 72/600, Total: 1690.340410, Node: 969.647443, Link: 720.663241, Spread: 2.971036
Epoch 73/600, Total: 1691.739869, Node: 971.978420, Link: 719.732746, Spread: 2.869869
Epoch 74/600, Total: 1697.956734, Node: 977.889561, Link: 720.038057, Spread: 2.910742
Epoch 75/600, Total: 1705.459830, Node: 990.653148, Link: 714.778693, Spread: 2.799162
Epoch 76/600, Total: 1687.059541, Node: 968.878236, Link: 718.154339, Spread: 2.696135
Epoch 77/600, Total: 1691.063417, Node: 968.849426, Link: 722.187477, Spread: 2.651790
Epoch 78/600, Total: 1691.800293, Node: 971.526282, Link: 720.248594, Spread: 2.541948
Epoch 79/600, Total: 1689.858248, Node: 970.006705, Link: 719.827077, Spread: 2.446066
Epoch 80/600, Total: 1708.131131, Node: 995.402960, Link: 712.704504, Spread: 2.365825
Epoch 81/600, Total: 1687.493077, Node: 967.995390, Link: 719.474243, Spread: 2.344835
Epoch 82/600, Total: 1692.266848, Node: 968.187445, Link: 724.056574, Spread: 2.282696
Epoch 83/600, Total: 1690.687769, Node: 969.733315, Link: 720.932322, Spread: 2.213669
Epoch 84/600, Total: 1687.847335, Node: 967.523057, Link: 720.302922, Spread: 2.135123
Epoch 85/600, Total: 1696.220289, Node: 979.396809, Link: 716.802570, Spread: 2.091601
Epoch 86/600, Total: 1687.528973, Node: 968.668133, Link: 718.840470, Spread: 2.037245
Epoch 87/600, Total: 1703.559321, Node: 987.278715, Link: 716.260963, Spread: 1.965738
Epoch 88/600, Total: 1702.014170, Node: 985.412743, Link: 716.582203, Spread: 1.921705
Epoch 89/600, Total: 1687.852554, Node: 969.212865, Link: 718.621069, Spread: 1.862310
Epoch 90/600, Total: 1687.587195, Node: 971.433858, Link: 716.135610, Spread: 1.772371
Epoch 91/600, Total: 1686.374581, Node: 968.105178, Link: 718.252070, Spread: 1.733831
Epoch 92/600, Total: 1686.745725, Node: 966.208731, Link: 720.520017, Spread: 1.698651
Epoch 93/600, Total: 1684.512735, Node: 963.792017, Link: 720.703947, Spread: 1.676588
Epoch 94/600, Total: 1692.113034, Node: 975.264868, Link: 716.831743, Spread: 1.642356
Epoch 95/600, Total: 1693.079420, Node: 973.113845, Link: 719.949594, Spread: 1.597502
Epoch 96/600, Total: 1687.715539, Node: 966.349981, Link: 721.349929, Spread: 1.563006
Epoch 97/600, Total: 1687.564645, Node: 969.263888, Link: 718.285808, Spread: 1.495033
Epoch 98/600, Total: 1685.111833, Node: 964.931093, Link: 720.166013, Spread: 1.472674
Epoch 99/600, Total: 1683.538846, Node: 965.506524, Link: 718.018012, Spread: 1.431697
Epoch 100/600, Total: 1685.429702, Node: 965.853896, Link: 719.561763, Spread: 1.403569
Epoch 101/600, Total: 1691.684099, Node: 976.132094, Link: 715.537984, Spread: 1.401239
Epoch 102/600, Total: 1690.917042, Node: 970.255322, Link: 720.647767, Spread: 1.395525
Epoch 103/600, Total: 1682.786883, Node: 965.323097, Link: 717.450281, Spread: 1.350795
Epoch 104/600, Total: 1687.632893, Node: 967.964556, Link: 719.654885, Spread: 1.344711
Epoch 105/600, Total: 1680.416493, Node: 964.127302, Link: 716.276222, Spread: 1.296143
Epoch 106/600, Total: 1687.282594, Node: 968.494165, Link: 718.775700, Spread: 1.273899
Epoch 107/600, Total: 1683.959976, Node: 964.456981, Link: 719.490495, Spread: 1.248627
Epoch 108/600, Total: 1679.680164, Node: 963.252346, Link: 716.415733, Spread: 1.207601
Epoch 109/600, Total: 1684.735106, Node: 964.730664, Link: 719.992594, Spread: 1.185987
Epoch 110/600, Total: 1685.558519, Node: 972.078233, Link: 713.468517, Spread: 1.177273
Epoch 111/600, Total: 1683.065422, Node: 967.186205, Link: 715.867606, Spread: 1.161527
Epoch 112/600, Total: 1681.705798, Node: 964.279647, Link: 717.414748, Spread: 1.140796
Epoch 113/600, Total: 1691.553290, Node: 975.281058, Link: 716.260812, Spread: 1.141415
Epoch 114/600, Total: 1691.081944, Node: 973.187637, Link: 717.882722, Spread: 1.158807
Epoch 115/600, Total: 1682.505549, Node: 964.428493, Link: 718.065878, Spread: 1.118255
Epoch 116/600, Total: 1681.171668, Node: 963.723105, Link: 717.437778, Spread: 1.079337
Epoch 117/600, Total: 1683.877156, Node: 965.595135, Link: 718.271337, Spread: 1.067532
Epoch 118/600, Total: 1699.377580, Node: 981.349424, Link: 718.017210, Spread: 1.093716
Epoch 119/600, Total: 1681.415670, Node: 964.142966, Link: 717.262517, Spread: 1.019256
Epoch 120/600, Total: 1679.518151, Node: 961.582867, Link: 717.925232, Spread: 1.004457
Epoch 121/600, Total: 1681.986735, Node: 965.015967, Link: 716.960964, Spread: 0.979731
Epoch 122/600, Total: 1683.051087, Node: 969.086036, Link: 713.954998, Spread: 1.005857
Epoch 123/600, Total: 1679.399604, Node: 962.480942, Link: 716.909029, Spread: 0.964037
Epoch 124/600, Total: 1692.513111, Node: 976.937202, Link: 715.565878, Spread: 1.003051
Epoch 125/600, Total: 1685.109008, Node: 966.928713, Link: 718.170601, Spread: 0.969415
Epoch 126/600, Total: 1689.179128, Node: 971.884899, Link: 717.284523, Spread: 0.969379
Epoch 127/600, Total: 1686.250614, Node: 967.663096, Link: 718.577820, Spread: 0.970674
Epoch 128/600, Total: 1685.038086, Node: 967.726211, Link: 717.301548, Spread: 1.032671
